***** Bayesian optimization *****
Parameters settings:
[{'name': 'dropout', 'type': 'continuous', 'domain': (0.0, 0.9), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'kernel_reg', 'type': 'continuous', 'domain': (0.0, 0.02), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'bias_reg', 'type': 'continuous', 'domain': (0.0, 0.02), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'batch_norm', 'type': 'categorical', 'domain': (0, 1), 'domain_v': (True, False), 'dimensionality': 1, 'cast': None}, {'name': 'batch_size', 'type': 'discrete', 'domain': (64, 128, 256), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'int'>}]
*********************************
Best score: 0.6201649425265502
Best params: {'dropout': 0.1846992946549152, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
*********************************

Runs:
0.8935273331545994: {'dropout': 0.03084135968507636, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 256}
1.1175298609735904: {'dropout': 0.36793102355551716, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': False, 'batch_size': 64}
1.1793640054149042: {'dropout': 0.4772291090800718, 'kernel_reg': 0.02, 'bias_reg': 0.02, 'batch_norm': False, 'batch_size': 64}
0.6327652382490638: {'dropout': 0.16377153745579415, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
1.1267832244539981: {'dropout': 0.5556801363051528, 'kernel_reg': 0.02, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
0.6802877553485976: {'dropout': 0.6055095348571831, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
0.6565461461101575: {'dropout': 0.5199799243264337, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 256}
1.006367650812449: {'dropout': 0.18429153748511243, 'kernel_reg': 0.0156329202380206, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 64}
0.6420213653933288: {'dropout': 0.09521054788776047, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 128}
0.9680715279641874: {'dropout': 0.49872768291720593, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 256}
